ID,AdminCode,Type,Kind,R_linkID,L_linkID,Marker,UpdateDate,Version,Remark,HistType,HistRemark,vertex_index,vertex_part,vertex_part_index,distance,angle,Longitude,Latitude
B222CC040915,284,211,505,,,,20220413,2022,,,,7,0,7,0.00011914504891,79.39743780539034,127.439756787015,36.7292735077011
B222CC040110,284,211,505,,,,20220413,2022,,,,0,0,0,0.00000000000000,83.31529315774108,127.439756655509,36.7292736067979
B222CC040110,284,211,505,,,,20220413,2022,,,,1,0,1,0.00028405862842,83.31529315774108,127.440038783038,36.7293066728243
B222CC040917,284,211,505,,,,20220413,2022,,,,0,0,0,0.00000000000000,85.69138597948320,127.440041780874,36.7293070941427
B222CC040917,284,211,505,,,,20220413,2022,,,,1,0,1,0.00005063763733,85.98542475020027,127.440092275402,36.7293108984798
B222CC040917,284,211,505,,,,20220413,2022,,,,2,0,2,0.00008496509183,97.54262592280926,127.440126530508,36.7293131259879
B222CC040917,284,211,505,,,,20220413,2022,,,,3,0,3,0.00010975115349,121.71216740489780,127.440149993408,36.7293051359201
B222CC040917,284,211,505,,,,20220413,2022,,,,4,0,4,0.00013583352461,143.27224774844589,127.440168558807,36.7292868160931
B222CC040917,284,211,505,,,,20220413,2022,,,,5,0,5,0.00014960942534,159.88733186626823,127.440175041915,36.7292746610635
B222CC040917,284,211,505,,,,20220413,2022,,,,6,0,6,0.00016686084273,169.06302635637277,127.44017867323,36.7292577961604
B222CC040917,284,211,505,,,,20220413,2022,,,,7,0,7,0.00018532417754,170.27733799200649,127.440181791304,36.7292395980191
B222CC040210,284,211,505,,,,20220413,2022,,,,0,0,0,0.00000000000000,168.94887551603892,127.440067402651,36.7298346681745
B222CC040210,284,211,505,,,,20220413,2022,,,,1,0,1,0.00030949758978,168.94887551603892,127.440126728639,36.7295309097422
B222CC040206,284,211,505,,,,20220413,2022,,,,0,0,0,0.00000000000000,84.66644081728566,127.44045650663,36.7301644454661
B222CC040206,284,211,505,,,,20220413,2022,,,,1,0,1,0.00018020286806,91.38879304064839,127.440635929296,36.7301811960049
B222CC040206,284,211,505,,,,20220413,2022,,,,2,0,2,0.00019362643164,99.92119734289685,127.440649218574,36.7301793020232
B222CC040206,284,211,505,,,,20220413,2022,,,,3,0,3,0.00020466509724,114.69258533735930,127.440660026664,36.7301770576269
B222CC040206,284,211,505,,,,20220413,2022,,,,4,0,4,0.00021599399848,131.34891359223505,127.440668995926,36.7301701369085
B222CC040206,284,211,505,,,,20220413,2022,,,,5,0,5,0.00022683740027,149.69662741067583,127.440676657491,36.7301624635923
B222CC040206,284,211,505,,,,20220413,2022,,,,6,0,6,0.00024257976019,167.27343672816278,127.440680904326,36.7301473048889
B222CC040206,284,211,505,,,,20220413,2022,,,,7,0,7,0.00079672244426,170.41824228720907,127.440775248267,36.7296012523867
B222CC040206,284,211,505,,,,20220413,2022,,,,8,0,8,0.00082809630828,171.71322036323363,127.440780351385,36.7295702963287
B222CC040206,284,211,505,,,,20220413,2022,,,,9,0,9,0.00084368408431,176.12490148565669,127.440782308431,36.7295548318941
B222CC040206,284,211,505,,,,20220413,2022,,,,10,0,10,0.00085929082688,179.46232225275642,127.440782454886,36.7295392258388
B222CC040313,284,211,505,,,,20220413,2022,,,,0,0,0,0.00000000000000,352.36307003459564,127.440205202267,36.7298531939096
B222CC040313,284,211,505,,,,20220413,2022,,,,1,0,1,0.00006180383031,3.01885957214841,127.440196988832,36.7299144495454
B222CC040313,284,211,505,,,,20220413,2022,,,,2,0,2,0.00010089532098,24.39323055819512,127.440206230383,36.7299524329415
B222CC040313,284,211,505,,,,20220413,2022,,,,3,0,3,0.00013088031735,35.11181200668915,127.44022347697,36.7299769616028
B222CC040304,284,211,505,,,,20220413,2022,,,,0,0,0,0.00000000000000,51.95583993559958,127.440224864326,36.7299788026859
B222CC040304,284,211,505,,,,20220413,2022,,,,1,0,1,0.00004976754996,47.22408225364926,127.440264058063,36.7300094728664
B222CC040304,284,211,505,,,,20220413,2022,,,,2,0,2,0.00008417547622,40.73362928056590,127.440287300323,36.7300348441644
